Date,total_out_BTC_usd
2015-04-01,2074446.1347236068
2015-04-02,1205960.8694926067
2015-04-03,1288543.2925871727
2015-04-04,793639.5007677372
2015-04-05,788851.6832308964
2015-04-06,1489748.9243746283
2015-04-07,1286227.9752002256
2015-04-08,1796173.0087229956
2015-04-09,1578913.2236578194
2015-04-10,1586673.1079550467
2015-04-11,1062673.5174978008
2015-04-12,847102.083768206
2015-04-13,1306180.2269492764
2015-04-14,1491614.9560135703
2015-04-15,1527564.260043177
2015-04-16,1841226.7890452682
2015-04-17,2046359.7112437792
2015-04-18,1185439.0538900492
2015-04-19,1564098.026168059
2015-04-20,2017995.6683996823
2015-04-21,1950191.6608417819
2015-04-22,2038790.2181351453
2015-04-23,2030160.2068946809
2015-04-24,2287028.181663349
2015-04-25,1269427.4380617596
2015-04-26,1741785.1223993485
2015-04-27,2208945.163161786
2015-04-28,1936522.5417531845
2015-04-29,2385978.6557273995
2015-04-30,2078965.9911528665
2015-05-01,1937489.402823104
2015-05-02,1374677.9304169617
2015-05-03,1377893.9643126088
2015-05-04,2300127.9941627546
2015-05-05,1809860.1813697421
2015-05-06,1743617.825671291
2015-05-07,2261593.0075509865
2015-05-08,1768920.7668298439
2015-05-09,1660520.4857443674
2015-05-10,1810385.446145269
2015-05-11,1820886.98917142
2015-05-12,1655964.0988126618
2015-05-13,1632553.6229332811
2015-05-14,1611825.821103102
2015-05-15,1517049.9637411218
2015-05-16,1371821.7928701912
2015-05-17,851048.1690556033
2015-05-18,1493899.0591892903
2015-05-19,2158480.9547736584
2015-05-20,1780707.2346928983
2015-05-21,1475937.345465502
2015-05-22,2257635.96544515
2015-05-23,2045176.0936745144
2015-05-24,1176681.476645659
2015-05-25,1565646.9011892278
2015-05-26,1658911.946159064
2015-05-27,1981794.7860293656
2015-05-28,1813738.0396711298
2015-05-29,1634850.3866340825
2015-05-30,1531997.210192956
2015-05-31,1412080.3010527035
2015-06-01,2568187.0540973973
2015-06-02,2140966.300385913
2015-06-03,2156813.4690532293
2015-06-04,1977158.3455355398
2015-06-05,2365566.759773528
2015-06-06,1339184.5844613102
2015-06-07,1512821.6867425086
2015-06-08,1636479.806955273
2015-06-09,1935525.6582029657
2015-06-10,1788245.1021224586
2015-06-11,2160276.353371254
2015-06-12,2237546.306308416
2015-06-13,1551960.8599633882
2015-06-14,2101125.1181759536
2015-06-15,2596025.726117343
2015-06-16,3965884.585665304
2015-06-17,2990828.3815242946
2015-06-18,2303963.0003562174
2015-06-19,3107940.1021238253
2015-06-20,2016437.525795561
2015-06-21,1952276.3222369882
2015-06-22,1792885.2479600427
2015-06-23,1986471.505732695
2015-06-24,1787067.390987123
2015-06-25,1527485.7885560922
2015-06-26,2487168.546691869
2015-06-27,2445870.344598067
2015-06-28,1502391.3433676187
2015-06-29,2523940.211977281
2015-06-30,2970517.3178089852
2015-07-01,2464653.9294630196
2015-07-02,2238473.293682696
2015-07-03,2032023.2549418102
2015-07-04,1666009.19409442
2015-07-05,2161864.2197097903
2015-07-06,2223599.8366747336
2015-07-07,2527631.651408569
2015-07-08,2137315.630641325
2015-07-09,2848015.050970838
2015-07-10,3510197.3136445913
2015-07-11,2694024.056711915
2015-07-12,2700904.563978262
2015-07-13,2672773.726339768
2015-07-14,2579688.40627849
2015-07-15,2328982.9296282865
2015-07-16,2945786.17423246
2015-07-17,2254633.0155126
2015-07-18,1685657.9625769772
2015-07-19,1373520.993070254
2015-07-20,1808291.6940777784
2015-07-21,2346308.7189939003
2015-07-22,1917476.0680872747
2015-07-23,2367628.6754574813
2015-07-24,2117796.792823197
2015-07-25,1475742.2732875512
2015-07-26,1245236.6506770344
2015-07-27,2025557.5902998531
2015-07-28,2612823.260934842
2015-07-29,2132767.9883628627
2015-07-30,2220886.8440403678
2015-07-31,1925552.9990955878
2015-08-01,1455709.2261776377
2015-08-02,1215239.2580916695
2015-08-03,1888742.7119409174
2015-08-04,2468943.7970830523
2015-08-05,2623256.3571033482
2015-08-06,2280050.479331464
2015-08-07,2167726.3895964855
2015-08-08,2083576.167448927
2015-08-09,2319802.0054421984
2015-08-10,2038025.3351430946
2015-08-11,1963184.0597439695
2015-08-12,2870398.8559022583
2015-08-13,2671765.9682378042
2015-08-14,2577634.2791542388
2015-08-15,1983434.5571699042
2015-08-16,2058101.667639298
2015-08-17,2258557.9386905944
2015-08-18,2953302.3521863874
2015-08-19,2524373.983476356
2015-08-20,2504748.9096808448
2015-08-21,2017528.9958190266
2015-08-22,1882829.6694184972
2015-08-23,1654810.706365333
2015-08-24,2938406.047023172
2015-08-25,3501567.378592278
2015-08-26,2244385.472399927
2015-08-27,2573177.44486482
2015-08-28,2524371.171384742
2015-08-29,1393864.3059545488
2015-08-30,1223805.0321467647
2015-08-31,1872978.1757398455
2015-09-01,2160858.320009915
2015-09-02,2018255.9392928407
2015-09-03,1967051.6470556248
2015-09-04,1700214.3912926537
2015-09-05,1518751.1370084595
2015-09-06,1627722.833476532
2015-09-07,1666784.6555948684
2015-09-08,2466975.20220879
2015-09-09,2120510.8733248464
2015-09-10,1952124.456846328
2015-09-11,1829019.7539444892
2015-09-12,1351057.5530112253
2015-09-13,1308382.1616402406
2015-09-14,1932231.3769112835
2015-09-15,1900173.7389437743
2015-09-16,2374915.1217189725
2015-09-17,2115729.634853209
2015-09-18,2045510.7207699947
2015-09-19,2038745.8783674012
2015-09-20,1632356.1739675556
2015-09-21,2844602.902182118
2015-09-22,2210073.0182369626
2015-09-23,1891529.844070421
2015-09-24,2048830.4740623438
2015-09-25,1973457.0651102464
2015-09-26,1633081.579854742
2015-09-27,1226538.0669941637
2015-09-28,2483106.574213477
2015-09-29,2320914.3034622413
2015-09-30,2292457.9629363427
2015-10-01,2561964.4829832367
2015-10-02,3011566.1924724253
2015-10-03,1671763.1669881481
2015-10-04,1380861.0130734516
2015-10-05,2219782.933272614
2015-10-06,2996162.7766529066
2015-10-07,2680095.368512442
2015-10-08,3532583.554485649
2015-10-09,2507926.4492090563
2015-10-10,1864931.3720037497
2015-10-11,1658858.573329352
2015-10-12,2505112.8471246804
2015-10-13,3113079.457038503
2015-10-14,2869973.985117779
2015-10-15,3146789.3906815113
2015-10-16,3494833.6193139846
2015-10-17,2963944.3166841385
2015-10-18,1966379.9777120943
2015-10-19,2438428.7104238914
2015-10-20,3289235.865905906
2015-10-21,2707524.095829988
2015-10-22,2978550.5191573356
2015-10-23,2773024.901045673
2015-10-24,2681551.18008593
2015-10-25,2629755.775871197
2015-10-26,2805892.184625108
2015-10-27,3819476.8067957065
2015-10-28,4605707.6367459
2015-10-29,5111762.249265922
2015-10-30,4717834.529806763
2015-10-31,4159455.0195487817
2015-11-01,4112526.2226234167
2015-11-02,6815790.523801462
2015-11-03,9669411.463614592
2015-11-04,27725444.75627558
2015-11-05,9581188.223102711
2015-11-06,7426359.260725137
2015-11-07,5577959.15704741
2015-11-08,5332885.91206404
2015-11-09,6997124.3237117445
2015-11-10,6324760.643365284
2015-11-11,6846039.7845604615
2015-11-12,6315365.427504547
2015-11-13,5958651.007883236
2015-11-14,6995134.38453496
2015-11-15,4506969.708025304
2015-11-16,5204330.496045427
2015-11-17,4387836.158627652
2015-11-18,3877391.4573677797
2015-11-19,4842593.076107898
2015-11-20,4380211.201894754
2015-11-21,2769770.5880556623
2015-11-22,2150440.2188459155
2015-11-23,2631469.7560287113
2015-11-24,3048549.6479472485
2015-11-25,4508248.371537427
2015-11-26,4319169.247256554
2015-11-27,5865099.589223409
2015-11-28,4757952.702051591
2015-11-29,3503502.678637506
2015-11-30,5507795.426102475
2015-12-01,5348671.385940738
2015-12-02,6170106.936768452
2015-12-03,5330024.958808369
2015-12-04,6814683.386078199
2015-12-05,10941112.516207045
2015-12-06,13085203.18887113
2015-12-07,9151229.396729372
2015-12-08,7191359.514143277
2015-12-09,9757487.83147749
2015-12-10,6845607.295019151
2015-12-11,10288358.231608815
2015-12-12,9015131.709055718
2015-12-13,16275688.985549897
2015-12-14,11572623.76885293
2015-12-15,10832210.716849063
2015-12-16,12385562.980484024
2015-12-17,12484780.8373133
2015-12-18,11104063.778175926
2015-12-19,10933641.377345968
2015-12-20,10462784.737260485
2015-12-21,15536261.932637103
2015-12-22,14148330.44157169
2015-12-23,13029498.041506404
2015-12-24,15533864.712858198
2015-12-25,10072330.696170578
2015-12-26,6671177.243273895
2015-12-27,2970979.0576563966
2015-12-28,6159660.274785264
2015-12-29,5763959.390532535
2015-12-30,5983032.813609345
2015-12-31,3555272.791614988
2016-01-01,3075143.6285450296
2016-01-02,3073133.385225925
2016-01-03,2685825.092958387
2016-01-04,2548715.075327241
2016-01-05,3810540.3370745135
2016-01-06,4354905.01930951
2016-01-07,4959608.857170743
2016-01-08,3105740.163061304
2016-01-09,2528079.4502082528
2016-01-10,2977516.361877275
2016-01-11,4646257.192505132
2016-01-12,3243419.543274235
2016-01-13,4090646.898726777
2016-01-14,3317158.2197056185
2016-01-15,5498426.106543633
2016-01-16,3953131.461608869
2016-01-17,26494080.625810552
2016-01-18,20649932.294982497
2016-01-19,27904723.63395556
2016-01-20,10711579.1355696
2016-01-21,14667327.02896777
2016-01-22,16930644.684307426
2016-01-23,66969831.47564545
2016-01-24,154017140.4403832
2016-01-25,38427595.75833953
2016-01-26,25653983.50186485
2016-01-27,33978315.16077824
2016-01-28,15746194.799881352
2016-01-29,16002539.952887444
2016-01-30,6709691.672004875
2016-01-31,3511453.0691536632
2016-02-01,12401664.26948776
2016-02-02,7823684.471024827
2016-02-03,3429313.6607431727
2016-02-04,5705327.6198061295
2016-02-05,6941033.158914951
2016-02-06,5888490.910858973
2016-02-07,6407455.690677419
2016-02-08,6634566.70376031
2016-02-09,4810556.2407918405
2016-02-10,6099798.879680575
2016-02-11,5298408.795009294
2016-02-12,6051377.784148134
2016-02-13,6784043.3723015245
2016-02-14,6690074.883343994
2016-02-15,10399062.933397124
2016-02-16,11931801.833642824
2016-02-17,10832873.69135974
2016-02-18,9622937.43571169
2016-02-19,14439769.528852776
2016-02-20,12116814.226933831
2016-02-21,14410813.221674476
2016-02-22,14778845.381719392
2016-02-23,12394152.383257287
2016-02-24,13191989.494293338
2016-02-25,8648108.964669557
2016-02-26,10170842.630419753
2016-02-27,7470346.0493905395
2016-02-28,27711922.3359147
2016-02-29,32383072.800014313
2016-03-01,32929339.18640462
2016-03-02,15291319.67005851
2016-03-03,10722566.465373408
2016-03-04,19141798.836030718
2016-03-05,52571186.35150639
2016-03-06,5610852.19221378
2016-03-07,8970324.80327339
2016-03-08,6197047.749661283
2016-03-09,5117340.9653598275
2016-03-10,6626340.770396262
2016-03-11,6062383.302973542
2016-03-12,5239307.4595467495
2016-03-13,5063567.670546448
2016-03-14,6606268.265143113
