,cumsum_supply_usd
2014-10-04,4285685218.407698
2014-10-05,4376483220.541772
2014-10-06,4475228724.21278
2014-10-07,4726807830.839073
2014-10-08,4859254347.710041
2014-10-09,4804070617.971082
2014-10-10,4823645534.025996
2014-10-11,5050954853.081654
2014-10-12,5234664483.593865
2014-10-13,5353572589.568124
2014-10-14,5272150808.511841
2014-10-15,5117111925.515978
2014-10-16,5122731153.90762
2014-10-17,5228894543.854344
2014-10-18,5191565638.19346
2014-10-19,5098782893.733636
2014-10-20,5150704259.925635
2014-10-21,5094081480.588353
2014-10-22,4792292711.56458
2014-10-23,4794572881.618112
2014-10-24,4636116907.7536745
2014-10-25,4744671566.238781
2014-10-26,4687560623.615316
2014-10-27,4766225140.403355
2014-10-28,4487191008.990021
2014-10-29,4636070683.627493
2014-10-30,4527987370.571726
2014-10-31,4372559589.096339
2014-11-01,4355884254.132726
2014-11-02,4371757371.152681
2014-11-03,4436297805.143636
2014-11-04,4553827148.887079
2014-11-05,4713024609.320764
2014-11-06,4602033437.110933
2014-11-07,4646511922.89859
2014-11-08,4889191934.5862055
2014-11-09,4932552807.742103
2014-11-10,4971760111.029981
2014-11-11,5815050054.608605
2014-11-12,5641387573.361857
2014-11-13,5393307952.931369
2014-11-14,5068056432.824172
2014-11-15,5276970270.695208
2014-11-16,5230131253.778973
2014-11-17,5041183637.515824
2014-11-18,5084575994.904863
2014-11-19,4817149062.985971
2014-11-20,4737490022.468607
2014-11-21,4768624216.765255
2014-11-22,4972412794.122096
2014-11-23,5084117241.409614
2014-11-24,5100385408.5257635
2014-11-25,4997060399.300518
2014-11-26,5005799533.322617
2014-11-27,5105592616.414548
2014-11-28,5090823863.958677
2014-11-29,5137038669.026968
2014-11-30,5146885306.524734
2014-12-01,5183863987.69567
2014-12-02,5092057223.105444
2014-12-03,5017085863.032044
2014-12-04,5118148790.676083
2014-12-05,5102142525.454374
2014-12-06,5106131052.7213125
2014-12-07,4909334742.62355
2014-12-08,4778036070.849277
2014-12-09,4686295534.31838
2014-12-10,4734853620.216653
2014-12-11,4785518972.721062
2014-12-12,4728438573.834451
2014-12-13,4822407434.567333
2014-12-14,4720250383.207053
2014-12-15,4440658644.157609
2014-12-16,4353389528.649757
2014-12-17,4245538784.8786564
2014-12-18,4333074030.371082
2014-12-19,4497658837.474312
2014-12-20,4365051802.433481
2014-12-21,4524573934.795442
2014-12-22,4579656405.2161875
2014-12-23,4398078653.860393
2014-12-24,4348361597.45786
2014-12-25,4465618680.054137
2014-12-26,4311084578.287119
2014-12-27,4326906174.105929
2014-12-28,4268992303.0892653
2014-12-29,4244154991.8718977
2014-12-30,4393603969.50994
2014-12-31,4294684539.606362
2015-01-01,4311415417.458649
2015-01-02,3828988009.4864345
2015-01-03,3610780040.742074
2015-01-04,3762462963.6289973
2015-01-05,3945174142.022376
2015-01-06,4077014878.81675
2015-01-07,3876368784.9753175
