Date,Total Volume
2021-04-17,1712296.5792168332
2021-04-18,1228147.8659824212
2021-04-19,1246468.7281300907
2021-04-20,1109851.3609724136
2021-04-21,1602866.505453228
2021-04-22,1826631.7777192856
2021-04-23,1119449.851111902
2021-04-24,1030026.915988748
2021-04-25,1387030.242223335
2021-04-26,1011641.3504680061
2021-04-27,1133950.2024060164
2021-04-28,1105078.5616125087
2021-04-29,1119323.6584849877
2021-04-30,853085.4185782885
2021-05-01,849309.8346704968
2021-05-02,1065851.5743702187
2021-05-03,1495301.555157688
2021-05-04,1308074.9943430785
2021-05-05,1216015.747675639
2021-05-06,1209225.2274884507
2021-05-07,1240771.1685953592
2021-05-08,1163883.6179572532
2021-05-09,1517355.8159291656
2021-05-10,1253803.862924027
2021-05-11,1568882.727901994
2021-05-12,2137004.3513834835
2021-05-13,1281527.5490397152
2021-05-14,1598151.154115549
2021-05-15,1750579.7493077454
2021-05-16,2412781.716421476
2021-05-17,1827111.8162183617
2021-05-18,3850141.6754939286
2021-05-19,2394075.371775925
2021-05-20,2517943.357842644
2021-05-21,1890410.2136528115
2021-05-22,2634630.3877486023
2021-05-23,2128649.97754516
2021-05-24,1725204.562621099
2021-05-25,1601078.7667372543
2021-05-26,1510392.9331707268
2021-05-27,2057495.5957327615
2021-05-28,1821062.1574126561
2021-05-29,1405122.7694243242
2021-05-30,1640906.8805719493
2021-05-31,1543931.0424487346
2021-06-01,1239475.304234845
2021-06-02,1321003.1295853348
2021-06-03,1615354.8302890202
2021-06-04,1494359.484398948
2021-06-05,1105282.381336833
2021-06-06,1460871.4653530116
2021-06-07,2236141.3302958
2021-06-08,2306672.1371807302
2021-06-09,1835936.3870572648
2021-06-10,1445786.560142779
2021-06-11,1481719.7837810847
2021-06-12,1449313.8578681187
2021-06-13,1753520.9533678996
2021-06-14,1530588.9309232808
2021-06-15,1567647.499656664
2021-06-16,1446676.44321803
2021-06-17,1713840.890896851
2021-06-18,1388028.5099616228
2021-06-19,1713439.5115286864
2021-06-20,2903920.6266979785
2021-06-21,3146987.869282912
2021-06-22,2084645.1852080405
2021-06-23,1699149.3318652483
2021-06-24,2281134.4647948453
2021-06-25,2232760.555124948
2021-06-26,1842218.2237174427
2021-06-27,1572144.2764629212
2021-06-28,1727883.7837746998
2021-06-29,1568482.4351225323
2021-06-30,1625020.569239155
2021-07-01,1468129.1624044664
2021-07-02,1104924.6395904587
2021-07-03,995128.0565894961
2021-07-04,1481692.4620085936
2021-07-05,1396206.4542086865
2021-07-06,1045946.4039514875
2021-07-07,1454066.9031356361
2021-07-08,1137773.0887419034
2021-07-09,928755.8157669796
2021-07-10,766577.7905299574
2021-07-11,1115417.875966543
2021-07-12,1055195.7532517747
2021-07-13,1176246.3886006672
2021-07-14,1197369.1395347277
2021-07-15,1205133.8070121498
2021-07-16,962945.2189015559
2021-07-17,907013.9774142304
2021-07-18,1113679.1378410184
2021-07-19,1321584.1908777335
2021-07-20,1608261.287567811
2021-07-21,1023834.1460164863
2021-07-22,989871.9016800346
2021-07-23,950387.0665222068
2021-07-24,966175.7760031783
2021-07-25,2505234.0278641195
2021-07-26,1665659.1425995019
2021-07-27,1816161.1270336837
2021-07-28,1314276.2478924943
2021-07-29,1371422.050020778
2021-07-30,1066622.2982243192
2021-07-31,1266300.5629318047
2021-08-01,1250902.1533521092
2021-08-02,1375236.2462773724
2021-08-03,1258600.657652355
2021-08-04,1787053.8176112226
2021-08-05,1676195.3634547992
2021-08-06,1626397.5731430359
2021-08-07,1530226.184893575
2021-08-08,1657610.119769323
2021-08-09,1371078.259957399
2021-08-10,1235039.606502947
2021-08-11,1369387.8235619667
2021-08-12,1221656.238446625
2021-08-13,1162598.8328951064
2021-08-14,1156518.1134789367
2021-08-15,1194731.5408670218
2021-08-16,1392965.3919793663
2021-08-17,1311785.385896078
2021-08-18,1399223.4018376882
2021-08-19,1231371.8686217826
2021-08-20,1131070.8955761946
2021-08-21,1025069.4049605866
2021-08-22,1135230.9544017413
2021-08-23,1227305.0778137704
2021-08-24,1211649.077368468
2021-08-25,1402884.9730896936
2021-08-26,1187068.0604985016
2021-08-27,825946.1187818813
2021-08-28,984195.0996259351
2021-08-29,1032599.7172502753
2021-08-30,1194202.5264431955
2021-08-31,1130681.759736095
2021-09-01,1133552.9987974442
2021-09-02,1306022.1843873106
2021-09-03,978201.27771794
2021-09-04,969095.4199179137
2021-09-05,977024.5558659579
2021-09-06,2146197.5192070445
2021-09-07,1547372.4575558167
2021-09-08,1173967.8238394596
2021-09-09,1195319.4510978344
2021-09-10,772237.6128304868
2021-09-11,818859.3125307839
2021-09-12,1446007.9847272884
2021-09-13,1046839.6706375856
2021-09-14,969920.6557698785
2021-09-15,998109.8867785756
2021-09-16,861971.3599634651
2021-09-17,826454.846559211
2021-09-18,785928.4049198813
2021-09-19,1710632.7132025529
2021-09-20,1934235.4405065102
2021-09-21,1335907.6402346934
2021-09-22,1139059.732988448
2021-09-23,1721578.2866231708
2021-09-24,1061755.9873358554
2021-09-25,1195074.9361314632
2021-09-26,1057717.9852200674
2021-09-27,1175893.439969705
2021-09-28,1027276.0127217914
2021-09-29,1156272.2805702772
2021-09-30,1226056.7533443952
2021-10-01,685259.371323525
2021-10-02,671805.6405495107
2021-10-03,1030296.0016317477
2021-10-04,1034186.1741829137
2021-10-05,1357677.5974393534
2021-10-06,1075843.3984651577
2021-10-07,963693.6958433604
2021-10-08,769941.7962871515
2021-10-09,1057294.2174805785
2021-10-10,1034575.981154447
2021-10-11,1086637.449865204
2021-10-12,1033846.0829500135
2021-10-13,866344.4926361591
2021-10-14,1354090.481442771
2021-10-15,723440.5521821533
2021-10-16,771050.8363344374
2021-10-17,1082042.6051871832
2021-10-18,1082603.6169587146
2021-10-19,951394.7729420126
2021-10-20,1382724.9256072063
2021-10-21,1112437.6746263497
2021-10-22,737772.1675364345
2021-10-23,809906.6561565179
2021-10-24,813072.1690191578
2021-10-25,848037.54231301
2021-10-26,1143421.9019578916
2021-10-27,1165529.1513333118
2021-10-28,898152.3749719692
2021-10-29,686104.5401434655
2021-10-30,756788.9691548755
2021-10-31,972759.7858433883
2021-11-01,897793.1293339378
2021-11-02,768633.9789942597
2021-11-03,649703.1702031358
2021-11-04,556072.7710068844
2021-11-05,465123.79680346814
2021-11-06,441842.0868097328
2021-11-07,850165.6109986239
2021-11-08,696045.9295469171
2021-11-09,968791.1694958436
2021-11-10,599725.1150913108
2021-11-11,879653.4023472035
2021-11-12,499097.5954083906
2021-11-13,567628.5229474106
2021-11-14,750380.8950577133
2021-11-15,1436951.5989216538
2021-11-16,948837.3947885041
2021-11-17,1268397.2711894803
2021-11-18,894853.1279354587
2021-11-19,622103.3195352973
2021-11-20,651535.5768199076
2021-11-21,1128042.7367248149
2021-11-22,973466.2788251286
2021-11-23,691824.3210361343
2021-11-24,656259.7657241924
2021-11-25,1208643.2577094482
2021-11-26,583894.8994547032
2021-11-27,617241.1077779423
2021-11-28,724901.6843054668
2021-11-29,1053295.4863846223
2021-11-30,832748.7261707684
2021-12-01,836057.7954011351
2021-12-02,1086637.6862221977
2021-12-03,1699434.80523533
2021-12-04,938347.9597932405
2021-12-05,1140075.2303791384
2021-12-06,778336.7837822953
2021-12-07,785405.6950176546
2021-12-08,876143.0673168775
2021-12-09,990332.7980791295
2021-12-10,739704.4221211257
2021-12-11,614605.8894420576
2021-12-12,1060653.266466792
2021-12-13,925128.0831635097
2021-12-14,1058968.8078898098
2021-12-15,738862.0645449348
2021-12-16,968458.2187229521
2021-12-17,678794.5814899867
2021-12-18,735839.9709168172
2021-12-19,881448.4116437136
2021-12-20,805779.4049074854
2021-12-21,618851.7956009798
2021-12-22,746147.3450679457
2021-12-23,651490.9439272435
2021-12-24,489190.79136550054
2021-12-25,544922.041712925
2021-12-26,665427.5184593378
2021-12-27,970559.6189563932
2021-12-28,831152.8888249958
2021-12-29,751347.832742441
2021-12-30,842657.8777585562
2021-12-31,569296.1313297998
2022-01-01,602943.5630216841
2022-01-02,732920.1666713727
2022-01-03,844087.5682206654
2022-01-04,1186125.4656085365
2022-01-05,941161.2364498063
2022-01-06,1280475.3807209705
2022-01-07,796371.9322144691
2022-01-08,671629.3301502002
2022-01-09,1155786.4571154376
2022-01-10,922772.7534621041
2022-01-11,855584.1996079661
2022-01-12,831332.7590311914
2022-01-13,772144.248053432
2022-01-14,602503.6186094661
2022-01-15,546086.6462263012
2022-01-16,736759.2941253094
2022-01-17,830976.890324699
2022-01-18,941303.3877534614
2022-01-19,1005977.6336680121
2022-01-20,1949910.6451753494
2022-01-21,1865928.1756972016
2022-01-22,1079603.6462252203
2022-01-23,1997562.4887775953
2022-01-24,1188645.6173163925
2022-01-25,1449722.0523519388
2022-01-26,1184996.5276512294
2022-01-27,1031249.7035351621
2022-01-28,698562.3424777036
2022-01-29,596209.2053396162
2022-01-30,871592.4580532461
2022-01-31,941888.1624399746
2022-02-01,911830.0341998972
2022-02-02,890448.7599902854
2022-02-03,1247922.4680589612
2022-02-04,706385.3832033951
2022-02-05,599299.1009741732
2022-02-06,1098506.949031906
2022-02-07,1218286.0608554056
2022-02-08,848809.0735454061
2022-02-09,1345659.7122856008
2022-02-10,1114877.5924336966
2022-02-11,753419.9360316856
2022-02-12,583093.4401334773
2022-02-13,882410.1403397281
2022-02-14,822932.985850554
2022-02-15,735868.9273751597
2022-02-16,1100807.3353296577
2022-02-17,989793.9321821757
2022-02-18,527128.8907982411
2022-02-19,808848.7898375395
2022-02-20,1522042.4937847147
2022-02-21,1252559.763503995
2022-02-22,1049499.1615470233
2022-02-23,2213524.5491358005
2022-02-24,1133842.5562848514
2022-02-25,689375.8391481052
2022-02-26,1011903.3838120935
2022-02-27,1466846.7592085137
2022-02-28,1207952.1505631479
2022-03-01,1092604.9462165318
2022-03-02,967062.8740858455
2022-03-03,1207107.5087953466
2022-03-04,605360.7630558959
2022-03-05,823437.9034522935
2022-03-06,1288653.0072574315
2022-03-07,1178101.5082850694
2022-03-08,1245554.4641334694
2022-03-09,1350512.9539148419
2022-03-10,1160315.4931147005
2022-03-11,512572.74305266497
2022-03-12,616463.563132951
2022-03-13,945315.625688538
2022-03-14,909278.2616799837
2022-03-15,1529481.5678822286
2022-03-16,726932.7350751536
2022-03-17,812917.9371208415
2022-03-18,548635.7165981538
2022-03-19,632055.6595365122
2022-03-20,816112.9958585615
2022-03-21,996272.8359487671
2022-03-22,780613.8846806335
2022-03-23,914944.7617673519
2022-03-24,918316.1472888222
2022-03-25,440279.42536973365
2022-03-26,700841.1641150875
2022-03-27,910689.0154164442
2022-03-28,714501.7526288235
2022-03-29,669387.6204576342
