,vol_bitfinex_by_supply_btc
2016-11-09,3.91101780372634e-07
2016-11-10,4.2962912952280846e-07
2016-11-11,5.265205482181445e-07
2016-11-12,7.746778272552518e-07
2016-11-13,5.330997094505564e-07
2016-11-14,6.980660669606396e-07
2016-11-15,1.51366230896862e-06
2016-11-16,1.2635505012219277e-06
2016-11-17,5.802664151158827e-07
2016-11-18,5.030584395413089e-07
2016-11-19,1.1933402479700059e-06
2016-11-20,6.105966008083487e-07
2016-11-21,7.922556209749751e-07
2016-11-22,4.707587222483775e-07
2016-11-23,5.149410031705383e-07
2016-11-24,3.436490812768582e-07
2016-11-25,3.8347686636066086e-07
2016-11-26,3.0057908773376583e-07
2016-11-27,3.543150995830215e-07
2016-11-28,4.829194131299893e-07
2016-11-29,4.663328503888177e-07
2016-11-30,1.1105869836808147e-06
2016-12-01,1.0856179156410442e-06
2016-12-02,4.6817101643025395e-07
2016-12-03,3.426314874181561e-07
2016-12-04,8.37554716265917e-07
2016-12-05,4.3463193659791844e-07
2016-12-06,8.735097183365067e-07
2016-12-07,3.869323599043822e-07
2016-12-08,2.956259015686583e-07
2016-12-09,2.714080426891612e-07
2016-12-10,3.3586112243041655e-07
2016-12-11,5.421275445073383e-07
2016-12-12,4.4915094004931e-07
2016-12-13,2.957701933640217e-07
2016-12-14,2.558997071395764e-07
2016-12-15,3.808171483665809e-07
2016-12-16,4.898351964190766e-07
2016-12-17,1.9203459586383562e-07
2016-12-18,1.6980961007159604e-07
2016-12-19,5.460945527255938e-07
2016-12-20,1.2160495689030975e-06
2016-12-21,1.1071515125037631e-06
2016-12-22,1.7694749871712474e-06
2016-12-23,5.155540333448175e-07
2016-12-24,8.378155649411281e-07
2016-12-25,8.15065828004059e-07
2016-12-26,6.147147479471414e-07
2016-12-27,1.3233729267830537e-06
2016-12-28,1.4445021289052089e-06
2016-12-29,1.256310242058621e-06
2016-12-30,4.6033380557660945e-07
2016-12-31,8.390493201908745e-07
2017-01-01,1.3361633066121557e-06
2017-01-02,8.508254037814488e-07
2017-01-03,2.9542394507028372e-06
2017-01-04,5.653340181404583e-06
2017-01-05,3.983552485215014e-06
2017-01-06,2.7837012098383324e-06
2017-01-07,2.0892437959245767e-06
2017-01-08,1.1452232321055732e-06
2017-01-09,8.33513717658073e-07
2017-01-10,5.000377561220145e-06
2017-01-11,2.7677847206634636e-06
2017-01-12,1.942343577246254e-06
2017-01-13,9.518392080818611e-07
2017-01-14,4.068202281079858e-07
2017-01-15,5.720670000097366e-07
2017-01-16,1.8782309545259866e-06
2017-01-17,1.491414690192421e-06
2017-01-18,1.0400259231641606e-06
2017-01-19,6.586628086601448e-07
2017-01-20,8.186525053982003e-07
2017-01-21,1.466922856600312e-06
2017-01-22,6.664081266041666e-07
2017-01-23,1.4509512699060367e-06
2017-01-24,7.275343776910942e-07
2017-01-25,6.660200657324474e-07
2017-01-26,6.855513016014804e-07
2017-01-27,2.435471038942333e-07
2017-01-28,1.8335857688021135e-07
